CreationTime,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
2018-08-02 17:45:00,5.0,14498.0,2.0,22.0,1604588000.0,5649716000.0,33.0,59.0,45.7,636728386.3284178,750026660.872474,749044.0824572856,878589.7341469094
2018-08-02 18:00:00,6.0,14580.0,4.0,21.0,1606732000.0,5647572000.0,32.0,59.0,45.2,608231664.3950113,724047064.7615327,717504.1508639022,848800.2117083864
2018-08-04 00:00:00,3.0,11073.0,3.0,18.0,1591228000.0,5663008000.0,30.0,51.0,39.8,492046938.2147582,610803014.2521894,570280.945857988,701166.6567571382
2018-08-04 00:15:00,5.0,10828.0,3.0,18.0,1591764000.0,5662472000.0,31.0,51.0,39.7,470556740.1006036,589416787.9709674,545657.7298442704,677982.8280606967
2018-08-04 00:30:00,1.0,10799.0,3.0,17.0,1594072000.0,5660164000.0,29.0,51.0,39.5,422002149.99801,541052737.8486726,492621.5684750523,624775.2939635969
2018-08-04 00:45:00,1.0,9874.0,2.0,15.0,1593056000.0,5661180000.0,32.0,50.0,39.8,377397231.0453918,497373749.6351593,443799.1205768488,577707.1746249059
2018-08-04 01:00:00,2.0,9986.0,1.0,15.0,1597356000.0,5656880000.0,32.0,50.0,39.8,337324585.90791726,457489664.8550778,396531.7018092881,531144.8516926644
2018-08-04 01:15:00,15.0,9885.0,2.0,15.0,1594432000.0,5659804000.0,30.0,50.0,39.7,301953740.0095049,422572051.35297334,355721.53950840165,494247.3280863099
2018-08-04 01:30:00,1.0,9806.0,1.0,15.0,1594624000.0,5659612000.0,29.0,50.0,39.5,270458821.5819375,391469324.02971554,317337.068854696,457549.8765881029
2018-08-04 01:45:00,9.0,10373.0,0.0,14.0,1596144000.0,5658092000.0,31.0,50.0,39.8,248983156.51944786,369428500.71481305,293058.856597442,433101.3025000728
2018-08-04 02:00:00,3.0,10577.0,1.0,15.0,1600204000.0,5654032000.0,29.0,50.0,39.5,218752108.28755486,339129674.14216185,260589.5831859667,402587.8004803834
2018-08-04 02:15:00,3.0,10482.0,2.0,16.0,1596380000.0,5657856000.0,31.0,50.0,39.3,196655639.38943985,317448533.47708523,237438.0668202564,381678.7193369827
2018-08-04 02:30:00,5.0,10390.0,3.0,15.0,1596044000.0,5658192000.0,30.0,50.0,39.2,175570669.43127888,296286648.1170476,212071.67069649525,356836.42911700445
